게시물 ID,고유 링크,게시물 메시지,유형,국가,언어,게시일,광고 타겟,전체 기간 내 게시물 총 도달수,전체 기간 내 게시물의 유기적 도달 범위,전체 기간 내 게시물 광고 도달 범위,전체 기간 내 게시물 총 노출수,전체 기간 내 게시물 유기적 노출수,전체 기간 내 광고로 인한 게시물 노출수,전체 기간 내 참여한 사용자,전체 기간 내 게시물 이용자,전체 기간 내 게시물 소비,전체 기간 내 부정적인 사용자 피드백,전체 기간 내 페이지 좋아요를 누른 사람에 의한 게시물 노출수,전체 기간 내 페이지 좋아요를 누른 사람을 통한 게시물 도달 범위,전체 기간 내 광고로 인해 페이지 좋아요를 누른 사람에 대한 게시물 노출수,전체 기간 내 페이지를 좋아하는 사람들에 의한 게시물의 광고 도달 범위,전체 기간 내 페이지 좋아요를 누른 후 게시물에 참여한 사람,전체 기간 내 95%까지 재생한 유기적 조회수,전체 기간 내 95%까지 재생한 유기적 조회수,전체 기간 내 95%까지 재생한 광고 조회수,전체 기간 내 95%까지 재생한 광고 조회수,전체 기간 내 유기적 동영상 조회수,전체 기간 내 유기적 동영상 조회수,전체 기간 내 광고 동영상 조회수,전체 기간 내 광고 동영상 조회수,전체 기간 내 평균 동영상 재생 시간,전체 기간 동영상 길이,전체 기간 내 행동별 이야기 하고 있는 사람들(게시물) - like,전체 기간 내 행동별 이야기 하고 있는 사람들(게시물) - comment,전체 기간 내 행동별 이야기 하고 있는 사람들(게시물) - share,전체 기간 내 행동 유형별 게시물 소식 - like,전체 기간 내 행동 유형별 게시물 소식 - comment,전체 기간 내 행동 유형별 게시물 소식 - share,전체 기간 내 유형별 게시물 이용자 - other clicks,전체 기간 내 유형별 게시물 이용자 - photo view,전체 기간 내 유형별 게시물 소비 - other clicks,전체 기간 내 유형별 게시물 소비 - photo view,,,,,,
,,,,,,,,전체 기간: 페이지 게시물이 게재된 사람의 총 수(고유 사용자),"전체 기간: 뉴스피드, 지금 이 순간, 페이지의 타임라인에서 게시물을 본 사람 수(고유 사용자)",전체 기간: 광고 페이지 게시물이 게재된 사람 수(고유 사용자),전체 기간: 페이지 게시물의 노출수(총 합계),"전체 기간: 뉴스피드, 지금 이 순간 또는 페이지 타임라인에 있는 게시물의 노출수(총 합계)",전체 기간: 광고나 홍보 소식에서 회원님의 페이지 게시물이 노출된 횟수(총 합계),"전체 기간: 댓글을 남기거나, 좋아요를 누르거나, 공유하거나, 게시물의 특정 요소를 클릭하는 등 페이지 게시물에 특정한 방식으로 참여한 고유 사용자 수(고유 사용자).",전체 기간: 게시물에서 클릭한 사람 수(고유 사용자),전체 기간: 게시물을 클릭한 횟수(총 합계),전체 기간: 게시물에 기록된 부정적인 피드백 횟수(총 합계),전체 기간: 페이지 게시물이 페이지 좋아요를 누른 사람에게 노출된 횟수(총 합계),전체 기간: 페이지를 좋아하는 사람들 중 페이지 게시물을 본 사람 수(고유 사용자),전체 기간: 광고로 인해 페이지 게시물이 페이지 좋아요를 누른 사람에게 노출된 횟수(총 합계),전체 기간: 광고나 홍보 소식에서 페이지 게시물을 본 사람 중 페이지를 좋아하는 사람 수(고유 사용자),전체 기간: 페이지 좋아요를 누른 후 게시물을 클릭한 사람 수(고유 사용자),전체 기간: 유료 홍보 없이 동영상 길이의 95%까지 재생된 횟수(고유 사용자),전체 기간: 유료 홍보 없이 동영상 길이의 95%까지 재생된 횟수입니다(총 합계).,전체 기간: 광고 후 동영상 길이의 95%까지 재생된 횟수(고유 사용자),전체 기간: 광고 후 동영상 길이의 95%까지 재생된 횟수(총 합계),전체 기간: 광고 없이 동영상이 3초를 초과하여 재생된 횟수(고유 사용자),전체 기간: 광고 없이 동영상이 3초를 초과하여 재생된 횟수(총 합계),전체 기간: 광고 후 동영상이 3초를 초과하여 재생된 횟수(고유 사용자),전체 기간: 광고 후 동영상이 3초를 초과하여 재생된 횟수(총 합계),전체 기간: 평균 동영상 재생 시간(총 합계),전체 기간: 동영상 게시물의 길이(총 길이),전체 기간: 페이지 게시물에 참여하여 관련 소식을 생성한 사람 수(중복 제외)(고유 사용자),,,전체 기간: 페이지 게시물에 관해 만들어진 활동 유형별 소식 수(총 합계),,,전체 기간: 게시물을 클릭한 유형별 사람 수(고유 사용자),,전체 기간: 게시물을 클릭한 유형별 횟수(총 합계),,,,,,,
134338226999288_309404559492653,https://www.facebook.com/Sghumans/posts/309404559492653:0,"#66
“말이 보통 트러블의 시작이 되더라구요. 제 입장에서는 상대방의 말에 기분이 상해서 그걸 표현했는데 상대방이 그 마음을 이해하지 못할 때 많이 그러는 것 같아요. 
제가 만만하단 소릴 많이 들어요. 잘 놀림 받고 약간 당하는 캐릭터죠. 해외 생활을 오래해서 한국말도 좀 어눌하거든요. 예를 들어, 갑자기 어떤 단어가 생각이 안 날 때가 있잖아요. 사실 누구나 있을 법한 일인데도 제가 외국 살다 온 것 때문에 프레임이 씌워지는거에요. ‘0개국어’라고 놀리구요. 거기에 제가 “아 아니야~~아니라고~~”하면 애들이 재밌다고 더 놀려요. 
그런데 사실 전 남들이 절 그렇게 만만하게 여기는 걸 안 좋아해요. 그러다 보니까 이게 가장 큰 갈등의 원인이 돼요.”",Photo,,,05/23/2017, ,3187,1275,0,5023,2595,0,397,386,646,0,2600,1231,0,0,281,0,0,0,0,0,0,0,0,0,0,62,10,,64,22,,368,53,547,99,,,,,,
134338226999288_308258956273880,https://www.facebook.com/Sghumans/posts/308258956273880:0,"#65
&quot;지쳐 보이세요!&quot;
&quot;네. 잠시 후에 시작할 테트리스를 시범운영 해봤는데요, 제 한계는 11줄이네요.&quot;",Photo,,,05/21/2017, ,1396,1054,0,2375,1988,0,32,25,32,0,1859,950,0,0,29,0,0,0,0,0,0,0,0,0,0,11,,,12,,,20,7,23,9,,,,,,
134338226999288_307235053042937,https://www.facebook.com/Sghumans/posts/307235053042937:0,"#64
&quot;인간관계가 생각보다 조금 어려운 것 같아요. 다 같이 으쌰으쌰하면서 잘해보자는 의미로 했던 것들이 모두에게 좋게 받아들여지지만은 않아서 조금 힘들었어요. 음, 모든 일이 원하는대로 흘러갈 수는 없지만 그래도 어느 정도는 맞춰질 거라고 생각을 했거든요. 그러지 못한 부분들이 결국 스트레스로 다가오게 되더라구요. 
근데 또 웃긴 게, 인간관계가 어떤 때에는 활력소가 되기도 해요. 뭔가 때에 따라 스트레스의 근원이자 삶의 원동력이랄까?(웃음) 같이 있기만 해도 그냥 너무 즐거운 사람들, 좋은 조언을 많이 해주는 사람들도 있고, '아, 이런 사람들이랑 있으면 앞으로도 대학생활 재밌게 할 수 있겠다...'싶은 생각을 들게 하는 친구들, 선배들도 있구요.&quot;",Photo,,,05/18/2017 06:10:48 PM, ,1505,925,0,2429,1753,0,125,114,137,0,1698,890,0,0,92,0,0,0,0,0,0,0,0,0,0,25,,,26,,,106,22,115,22,,,,,,
134338226999288_306610556438720,https://www.facebook.com/Sghumans/posts/306610556438720:0,"#63
“정작 특출난 재능이 있는 친구들이 진로 같은 것들로 고민하는 경우가 종종 있더라구요. 전 ’아트 앤 테크놀로지’ 분야에서 할 줄 아는 건 하나도 없고, ‘아텍’에서 대표적인 무능력자라고 불리는데도 참 행복해요. 아텍에는 제가 좋아하는 것들이 참 많아요. 우선 여기와서는 수학과학에 고민하지 않아도 되고, 이론적인 공부에 치중하지 않는다는 게 참 좋아요. 학점도 별로 신경 안 쓰고 다녀요. 중간고사 보러 안 간 과목도 있구요. 
고학년이 되면 지금 제 행동에 대해 후회할 수 있겠지만 그래도 지금은 재수강에 대해 걱정하지도 않구요, 매일매일 애들이랑 놀고 음악 들으면서 행복하게 살고 있어요. 왜, 고등학교 때는 마음은 항상 순간을 즐기고 싶었지만 행동으론 옮기지 못했거든요. 지금은 그런 생활을 벗어나서 아텍에서 순간순간을 즐기고 살아갈 수 있어서 참 즐거워요. 
이러다가 갑자기 공대 복전하고 AS관에서 마주칠 수도 있겠지만(웃음), 그냥 흘러가는 대로 살아가고 싶어요 일단은.“",Photo,,,05/17/2017 06:22:45 AM, ,4127,1231,0,6051,2563,0,476,460,667,0,2497,1178,0,0,279,0,0,0,0,0,0,0,0,0,0,73,15,1,74,43,1,431,71,579,88,,,,,,
134338226999288_305814843184958,https://www.facebook.com/Sghumans/posts/305814843184958:0,"#62
&quot;시험 끝나고 뭐하셨나요?&quot;
&quot;(왼쪽) 중간고사 전 주에 휴학했어요. 집에 가고 싶어서...&quot;
&quot;집이 어디세요?&quot;
&quot;(왼쪽) 저요? 과테말라요. 그래서 이번 달 말에 가려고 티켓팅도 다 해놨어요.(웃음) 거기는 1년 내내 날씨도 정말 좋고 미세먼지도 없어서 너무 좋아요. 꽃도 많고 엄청 초록초록해요. 비가 장마처럼 내리지 않고 간헐적으로 내려서 빨래 널 때 조금 귀찮긴 하지만요.&quot;
&quot;(오른쪽) 진짜 살기 좋았겠다!&quot;
&quot;(왼쪽) 아, 근데 길에 나갈 수가 없어요.(웃음) 지금은 웃으면서 얘기할 수 있지만 밖에 나가면 동네에 따라 진짜, 진짜 위험하거든요. 예를 들어 핸드폰을 달라고 오토바이 타고 차 앞까지 쫓아온다거나, 총으로 협박을 한다거나... 그래서 사실 항상 집, 학교, 집, 학교 생활밖에 못 했어요.&quot;",Photo,,,05/15/2017 08:28:18 AM, ,5258,1216,0,7235,2452,0,1068,1049,1289,0,2391,1164,0,0,522,0,0,0,0,0,0,0,0,0,0,69,,,70,,,942,205,1042,247,,,,,,
134338226999288_303065410126568,https://www.facebook.com/Sghumans/posts/303065410126568:0,"#61 
“(오른쪽)‘파이트 클럽’이라는 영화를 제일 좋아해요. 많은 사람들은 여러 개의 자아를 갖고 살아간다고 생각하는데, 이 영화는 그 많은 자아 중에서 진짜 본연의 자아가 무엇일지 생각하게 해주는 게 좋아요.”
“(왼쪽)전 최근에 시험 끝나고 본 ‘족구왕’이라는 영화가 기억에 남아요. 주인공이 제대한 뒤에 없어진 족구장 만들기를 추진하고 교내 족구 대회를 여는 그런 이야기예요. 족구는 말하자면 소재고, 다른 것보다 군대에서 돌아온 복학생들의 애환이 잘 드러나서 좋았어요. 저도 군대 생각 나면서 공감도 많이 되더라구요.”
“(오른쪽)복학생의 비애라고 하니까 생각나는데, 얼마 전에 선배랑 엠마오관 학식을 먹기로 했는데, 제가 헷갈려서 혼자서 우정관에서 기다렸었어요. 제대하고 나니까 이렇게 종종 깜빡깜빡하네요.”",Photo,,,05/07/2017 11:09:33 PM, ,1610,1000,0,2691,1944,0,148,141,179,0,1843,923,0,0,125,0,0,0,0,0,0,0,0,0,0,16,,,16,,,115,40,,121,58,,,,,
134338226999288_301449496954826,https://www.facebook.com/Sghumans/posts/301449496954826:0,"#60
&quot;대학 오기 전까지는 '엄마'라는 존재를 잘 몰랐어요. 워낙 바쁘셔서 제 가정통신문도 보신 적이 별로 없고, 소풍을 갈 때도 김밥은 항상 제가 사서 갔어요. 엄마랑 마주칠 일이 많지 않았거든요. 근데 대학에 오고 나서부터 공강도 생기고, 방학도 널널해지면서 '엄마'라는 존재를 점점 더 알게 된 것 같아요. '엄마가 어렵지 않을까...'라는 우려와 달리 '요즘 어떤 연예인이 잘생겼더라' 같은 이야기도 하시면서 우리 문화도 다 아시고, 즐기고 계시더라구요. 이제서야 알게 된 엄마이지만 소소하게 수다도 떨고, 같이 옷도 사러 다니고... 오히려 친구보다 더 잘 맞는 존재인 것 같다는 생각도 들어요! 사실 이번 연휴 때도 엄마랑 여기저기 다녀보려고 인터넷으로 지금 전시회나 연극 같은거 뭐하고 있나 찾아보고 있거든요. 저도 이제 효도좀 해보려구요.(웃음)&quot;",Photo,,,05/04/2017 06:49:02 AM, ,2648,1071,0,4451,2108,0,417,398,576,0,2201,1028,0,0,254,0,0,0,0,0,0,0,0,0,0,61,1,7,73,1,9,342,111,,430,146,,,,,
134338226999288_300307947068981,https://www.facebook.com/Sghumans/posts/300307947068981:0,"#59
(중간) &quot;오래 알고 지내서 그런지 셋이서 케미 같은 게 잘 맞는 것 같아요. 1학년 때부터 벌써 5년 넘게 같이 지냈거든요.&quot;
&quot;5년 동안 지낼 수 있었던 비결은 뭘까요?&quot;
(오른쪽) &quot;여기선 그냥 공통된 취미라고 합시다.&quot;
(중간) &quot;공통된 취미 중에서도 술, 담배, 야외활동!&quot;
(오른쪽) &quot;사실 술로 친해진 것도 술을 좋아해서라기보단, 술 마시던 중에 담배 피러 나가는 흡연자들끼리 더 친해진 것 같아요.&quot;
(왼쪽) &quot;저흰 다 건강에 안 좋은 것들만 공유해요. 그래서 더 친한 것 같기도 하구요. 뭐… 어차피 죽을 거 다같이 죽자는 그런 거 아닐까요?&quot;
(오른쪽) &quot;그건 이 쪽 생각이고요, 저희는 같이 안 죽을겁니다. 나이도 이 분이 제일 많아서 제일 먼저 갈 거에요.&quot;
(왼쪽) &quot;가는 데 순서 없지.&quot;",Photo,,,05/01/2017 08:00:00 PM, ,2859,1105,0,4389,2200,0,443,431,671,1,2154,1074,0,0,285,0,0,0,0,0,0,0,0,0,0,47,,4,48,,5,380,109,,516,155,,1,,1,
134338226999288_293666241066485,https://www.facebook.com/Sghumans/posts/293666241066485:0,"#58
“풍물패 의장을 하면서 제일 힘들었던 때는 알바탑에서 공연을 하던 중에 민원신고를 받은 경찰분들이 왔을 때였어요. 아무래도 공연을 보지 않는 분들에게는 소음이나 마찬가지니까 일찍 끝내는 것 밖에 방법이 없더라구요. 그 때를 생각하면 그냥… 경찰분들이 너무, 너무 무서웠어요. 
솔직히 저도 제가 연주하는 게 아닐 땐 시끄러워요. 그래서 안 좋아하는 분들의 마음도 충분히 이해가 가죠. 학교 내부에는 양해문을 돌려도 외부 주민 분들에게는 대처할 수 있는 방법이 없으니까 아예 집회신고를 할까 생각하기도 했어요. 그래도 2년 전의 학내 분위기와 비교하면 훨씬 더 좋게 봐주고 계신 것 같아요. 제가 다 잘해서 좋아진 거 아닐까요(웃음). 장난이고요, 1년에 한 번 정도는 이해해주지 뭐, 라고 생각하는 분들이 많아진 게 아닐까요?”",Photo,,,04/16/2017 04:21:41 AM, ,5896,1211,0,8199,2288,0,740,717,994,1,2295,1182,0,0,352,0,0,0,0,0,0,0,0,0,0,124,,19,126,,22,676,110,,854,140,,,1,,1
